chapter,verse_count,char_count,byte_count,start_byte,end_byte,intro_lines,intro_chars,intro_bytes,chapter_txt,chapter_verses,chapter_intro
65,12,987,2823,109970,112793,3,42,120,chapter_065.txt,chapter_065_verses.jsonl,chapter_065_intro.txt
66,2,186,532,112794,113326,0,0,0,chapter_066.txt,chapter_066_verses.jsonl,
67,13,1255,3589,113327,116916,5,78,224,chapter_067.txt,chapter_067_verses.jsonl,chapter_067_intro.txt
68,4,418,1198,116917,118115,5,86,248,chapter_068.txt,chapter_068_verses.jsonl,chapter_068_intro.txt
69,30,2567,7337,118116,125453,0,0,0,chapter_069.txt,chapter_069_verses.jsonl,
70,4,248,710,125454,126164,5,73,209,chapter_070.txt,chapter_070_verses.jsonl,chapter_070_intro.txt
71,16,1396,3998,126165,130163,0,0,0,chapter_071.txt,chapter_071_verses.jsonl,
72,36,3181,9035,130164,139199,12,193,555,chapter_072.txt,chapter_072_verses.jsonl,chapter_072_intro.txt
73,8,644,1842,139200,141042,3,46,132,chapter_073.txt,chapter_073_verses.jsonl,chapter_073_intro.txt
74,17,1288,3692,141043,144735,0,0,0,chapter_074.txt,chapter_074_verses.jsonl,
75,9,946,2708,144736,147444,8,122,350,chapter_075.txt,chapter_075_verses.jsonl,chapter_075_intro.txt
76,14,1185,3395,147445,150840,0,0,0,chapter_076.txt,chapter_076_verses.jsonl,
77,7,576,1652,150841,152493,0,0,0,chapter_077.txt,chapter_077_verses.jsonl,
78,16,1494,4278,152494,156772,0,0,0,chapter_078.txt,chapter_078_verses.jsonl,
79,6,384,1094,156773,157867,4,48,136,chapter_079.txt,chapter_079_verses.jsonl,chapter_079_intro.txt
80,8,631,1797,157868,159665,0,0,0,chapter_080.txt,chapter_080_verses.jsonl,
81,10,741,2119,159666,161785,4,55,157,chapter_081.txt,chapter_081_verses.jsonl,chapter_081_intro.txt
82,20,2157,6161,161786,167947,0,0,0,chapter_082.txt,chapter_082_verses.jsonl,
83,11,993,2845,167948,170793,3,51,147,chapter_083.txt,chapter_083_verses.jsonl,chapter_083_intro.txt
84,6,713,2043,170794,172837,8,125,359,chapter_084.txt,chapter_084_verses.jsonl,chapter_084_intro.txt
85,10,762,2184,172838,175022,0,0,0,chapter_085.txt,chapter_085_verses.jsonl,
86,6,531,1515,175023,176538,0,0,0,chapter_086.txt,chapter_086_verses.jsonl,
87,4,333,949,176539,177488,0,0,0,chapter_087.txt,chapter_087_verses.jsonl,
88,3,350,1000,177489,178489,0,0,0,chapter_088.txt,chapter_088_verses.jsonl,
89,76,7125,20315,178490,198805,9,147,423,chapter_089.txt,chapter_089_verses.jsonl,chapter_089_intro.txt
90,42,3718,10610,198806,209416,11,143,407,chapter_090.txt,chapter_090_verses.jsonl,chapter_090_intro.txt
91,19,1622,4636,209417,214053,0,0,0,chapter_091.txt,chapter_091_verses.jsonl,
92,5,379,1057,214054,215111,0,0,0,chapter_092.txt,chapter_092_verses.jsonl,
93,14,1224,3502,215112,218614,2,30,86,chapter_093.txt,chapter_093_verses.jsonl,chapter_093_intro.txt
94,11,781,2235,218615,220850,0,0,0,chapter_094.txt,chapter_094_verses.jsonl,
95,7,397,1133,220851,221984,5,74,212,chapter_095.txt,chapter_095_verses.jsonl,chapter_095_intro.txt
96,8,645,1845,221985,223830,0,0,0,chapter_096.txt,chapter_096_verses.jsonl,
97,10,696,1876,223831,225707,0,0,0,chapter_097.txt,chapter_097_verses.jsonl,
98,16,1236,3532,225708,229240,0,0,0,chapter_098.txt,chapter_098_verses.jsonl,
99,16,1191,3409,229241,232650,0,0,0,chapter_099.txt,chapter_099_verses.jsonl,
100,13,1078,3078,232651,235729,0,0,0,chapter_100.txt,chapter_100_verses.jsonl,
101,9,636,1814,235730,237544,0,0,0,chapter_101.txt,chapter_101_verses.jsonl,
102,11,750,2144,237545,239689,5,79,227,chapter_102.txt,chapter_102_verses.jsonl,chapter_102_intro.txt
103,15,1256,3580,239690,243270,0,0,0,chapter_103.txt,chapter_103_verses.jsonl,
104,12,1074,3068,243271,246339,0,0,0,chapter_104.txt,chapter_104_verses.jsonl,
105,2,162,462,246340,246802,0,0,0,chapter_105.txt,chapter_105_verses.jsonl,
106,14,1179,3371,246803,250174,5,73,209,chapter_106.txt,chapter_106_verses.jsonl,chapter_106_intro.txt
107,3,168,480,250175,250655,0,0,0,chapter_107.txt,chapter_107_verses.jsonl,
108,16,1483,4215,250656,254871,4,67,193,chapter_108.txt,chapter_108_verses.jsonl,chapter_108_intro.txt
